Crash Id,Date,Location,City,Aboard,Fatalities,Summary,Year
23,06/12/1980,"Valley, Nebraska",Valley,15.0,13.0,After penetrating a thunderstorm massive amounts of water cause both engine to lose power. Although the engines were restarted the crew could not recover and crashed into a field. Engine failure due to massive ingestion of water into both engines. Crew error. Unwise decision to enter an area of thunderstorms. Critical weather not disseminated.,1980
24,06/27/1980,"Tyrrhenian Sea,  off Ustica, Italy",Tyrrhenian Sea,81.0,81.0,"Two Libyan MiG aircraft concealed themselves from radar detection by flying closely to the DC-9. When this was discovered, an attempt was made by either French or US aircraft to intercept the MiGs. It was believed that a shot fired at the MiGs accidentally struck Itavia Flight 870. The aircraft exploded and crashed off the island of Ustica. A report released in 1994 stated new evidence pointed to an explosive device aboard the aircraft causing the crash.",1980
25,07/08/1980," Alma-Ata, Kazakhstan, USSR", Alma-Ata,166.0,166.0,"The aircraft crashed and burned in a field, two minutes after takeoff reaching a height of only 500 ft. Windshear.",1980
26,08/01/1980,"Cerro Lilio, Mexico",Cerro Lilio,7.0,3.0,The cargo plane crashed into a mountain in poor visibility.,1980
27,08/06/1980,"Houma, Louisiana",Houma,13.0,13.0,"Crashed after continued VFR flight into adverse weather conditions. No windshield wipers, unreliable attitude indicator and inoperative turn needle.",1980
28,08/07/1980,"Nouadhibou, Mauretania",Nouadhibou,168.0,1.0,"The aircraft touched down in water 1,000 ft. short of the runway.",1980
29,08/19/1980,"Riyadh, Saudi Arabia",Riyadh,301.0,301.0,"The flight experienced a fire in the aft cargo compartment  6 minutes after taking off from Rilyadh. The plane returned to the airport and landed but because of a delay in evacuating the plane, all aboard were killed by smoke and fire. Half a minute before landing the captain decided not to order an emergency evacuation.  When he landed, he did not stop immediately but instead proceeded to make a normal landing delaying the fire equipment from putting out the fire. It took a full twenty-three minutes after touchdown before the doors were opened. The failure of the captain to prepare the cabin crew for immediate evacuation upon landing and his failure in not making a maximum stop landing on the runway, with immediate evacuation.",1980
30,08/26/1980," Jakarta, Indonesia", Jakarta,37.0,37.0,"A section of the tail separated in flight and the aircraft crashed into a swamp. Broken spigot fitting, which is part of  the elevator torque tube assembly. The part was not repaced as required.",1980
31,09/05/1980," Montelimar, France", Montelimar,8.0,8.0,Crashed after being struck by lightning,1980
32,09/10/1980,"Puerto Olaya, Colombia",Puerto Olaya,3.0,3.0,While en route a wing separated from the cargo plane which led to loss of control.  The wing attachment bolts failed in turbulence.,1980
33,09/12/1980," Freeport, Bahamas", Freeport,34.0,34.0,"The aircraft crashed into the Atlantic Ocean about 3.5 nm SW of West End Settlement in low ceiling and thunderstorm activity. The cause was unable to be determined. Contributing factors include flight into thunderstorm activity, a malfunctioning pitot tube and improper supervision by airline management.",1980
34,09/14/1980,"Kindu, Zaire",Kindu,36.0,36.0,Crashed on takeoff after losing one engine.,1980
35,09/15/1980," Medina, Saudi Arabia", Medina,89.0,89.0,Crashed into the desert after taking off. Report of an in-flight fire.,1980
36,09/17/1980," Kindu, Zaire", Kindu,36.0,36.0,Crashed shortly after taking off.,1980
37,09/30/1980,"Badakshan, Afghanistan",Badakshan,45.0,45.0,Shot down by Afghan guerrilla forces as it prepared to land.,1980
38,11/12/1980," Cairo, Egypt", Cairo,13.0,13.0,Descended at an excessive sink rate at a banked angle until it crashed to the ground as it prepared to land at Cairo Airport.,1980
39,11/19/1980,"Seoul, South Korea",Seoul,226.0,15.0,Undershot runway and crashed while landing in fog. Crew error.,1980
40,11/24/1980," Medellin, Colombia", Medellin,20.0,20.0,"The aircraft crashed into a mountain at 9,500 ft. while descending to land. Continued VFR flight in deteriorating weather at low altitude in a mountainous area.",1980
41,11/28/1980,"Pecos City, Texas",Pecos City,2.0,2.0,The cargo plane entered a steep bank shortly after takeoff and crashed. Complete engine failure/flameout No.1 engine. Powerplant failure for undetermined reasons. Pilot-in-command  failed to obtain/maintain flying speed. Improper emergency procedures,1980
42,12/05/1980,"Dar es Salaam, Tanzania",Dar es Salaam,10.0,10.0,The aircraft broke-up in flight in bad weather.,1980
43,12/21/1980," Rio Hacha, Colombia", Rio Hacha,70.0,70.0,A fire and explosion took place 5 minutes after taking off. The explosion was possibly caused by a bomb placed in the rear section of the aircraft.,1980
44,12/23/1980,"Qatar, Qatar",Qatar,291.0,2.0,Two passengers were sucked out of the plane after a tire exploded in the wheel well causing damage to the fuselage.,1980
45,01/14/1981,"Ramstein AFB, West Germany",Ramstein AFB,11.0,11.0,"Stalled, crashed shortly after taking off.",1981
46,01/20/1981,"Spokane, Washington",Spokane,9.0,7.0,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA.",1981
47,02/07/1981," Leningrad, Russia", Leningrad,52.0,52.0,Crashed shortly after taking off approximately 10 miles north of Leningrad.,1981
48,02/11/1981,"White Plains, New York",White Plains,8.0,8.0,"Crashed in rain, fog, windshear.  Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath.",1981
49,02/22/1981,"Avalon, California",Avalon,8.0,2.0,The main rotor disk failed from a fatigue fracture while attempting to land.,1981
50,02/24/1981,"Belem, Brazil",Belem,14.0,11.0,Crashed into a tug boat and barges while on approach in heavy rain and wind and broke in two.,1981
51,02/26/1981, Tabones Island  Philippines, Tabones Island  Philippines,24.0,23.0,"The military transport crashed into Subic Bay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames.",1981
52,03/10/1981,"Moroni, Comoro Islands",Moroni,18.0,18.0,"As the plane was taking off, one of the engines failed and after climbing to 500 ft., the aircraft plunged to earth and exploded in flames.",1981
53,03/15/1981,"Shemya AFB, Alaska",Shemya AFB,24.0,6.0,Hit the ground short of the runway in snow and fog.,1981
54,03/26/1981,"Redzikowo, Poland",Redzikowo,52.0,1.0,Separation of a propeller blade caused a forced landing resulting the the plane crashing and burining.,1981
55,04/06/1981,"Laguna Soliz, Bolivia",Laguna Soliz,7.0,7.0,The cargo plane flew into the ground while trying to avoid bad weather.,1981
56,04/07/1981,"Cincinnati, Ohio",Cincinnati,2.0,1.0,"While climbing through 3,800 ft., a Loon collided with the cargo plane penetrating the windshield. The copilot was killed and the captain sustained serious injuries. Debris from the windshield were ingested by the No.2 engine which had to be shut down. The pilot returned to the airport for a successful emergency landing.",1981
57,04/17/1981,"Loveland, Colorado",Loveland,19.0,15.0,"A midair collision occurred 2 nm east-southeast of Loveland, Colorado at 13,000 ft.. Two killed and 3 injured on the Cessna and 13 killed on the Jetstream. The failure of the Cessna pilot to establish communications with the Denver Center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. Contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways.",1981
58,04/28/1981,"Pekanbaru, Indonesia",Pekanbaru,17.0,15.0,Crashed during final approach. Hudbay Oil Co. charter.,1981
59,04/28/1981,"	Batagay, Russia",	Batagay,12.0,12.0,Crashed into a mountainside. Icing.,1981
60,05/06/1981," Fredrick, Maryland", Fredrick,21.0,21.0,"While cruising at FL 210, the pitch trim moved to the full nose-down position. Gravational forces from the resulting dive led to the break-up of the aircraft.",1981
61,05/07/1981,"Rio de la Plata, Argentina",Rio de la Plata,31.0,31.0,The aircraft crashed into a river bed after two missed approaches and while in a holding pattern. Severe turbulence and thunderstorms where occurring in area. Loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. Windshear.,1981
62,05/16/1981," Menongue, Angola", Menongue,4.0,4.0,Shot down by a surface-to-air missile.,1981
63,05/21/1981," Pinarete Mountain, Mexico", Pinarete Mountain,24.0,24.0,"Crashed into a mountain at 8,800 feet obscured by clouds.",1981
64,05/22/1981," Zumba, Ecuador", Zumba,18.0,18.0,Crashed into a mountain in fog.,1981
65,05/29/1981,"Cairo, Egypt",Cairo,17.0,17.0,The aircraft hit the ground shortly after takeoff.,1981
66,06/14/1981,"Ust-Barguzin, Russia",Ust-Barguzin,48.0,48.0,The crew informed ATC they could see the field but crashed 30 km from the airport.,1981
67,06/26/1981,"Nailstone, England",Nailstone,3.0,3.0,"The the right rear door  of the cargo plane detached and struck the horizontal tail plane and became lodged on the leading edge. Control was lost, and the aircraft entered a steep dive. During the dive, the wings and tail plane failed due to overstressing.",1981
68,07/18/1981," Yerevan, Armenia", Yerevan,4.0,4.0,The cargo plane was brought down after a Soviet fighter jet crashed into the tail of the Canadair. The plane had strayed into Soviet airspace.,1981
69,07/20/1981,"Mogadishu, Somalia",Mogadishu,50.0,50.0,Part of the right wing separated from the plane after the aircraft entered an area of heavy rain and severe turbulence and went into a spiral dive 8 minutes after takeoff.,1981
70,07/24/1981,Madagascar,Madagascar,19.0,19.0,Flew into a mountain. Controlled flight into terrain.,1981
71,07/25/1981,"Caruru, Colombia",Caruru,9.0,5.0,The aircraft crashed short of the runway while attempting to land after a severe vibration required the crew to shut down the engine and feather the propeller.,1981
72,07/27/1981,"Chihuahua, Mexico",Chihuahua,66.0,32.0,"While landing in adverse weather conditions, the aircraft landed right of the runway, bounced and struck the ground. The fuselage broke in two and caught fire. Thunderstorms and strong turbulence in the area associated with a tropical air mass.",1981
73,08/22/1981," Sanyi, Miao-li, Taiwan", Sanyi,110.0,110.0,The aircraft experienced in-flight structural failure. Severe corrosion in belly of plane led to a pressure hull rupture and disintegration of the plane.,1981
74,08/24/1981," Zavitinsk, Russia", Zavitinsk,32.0,31.0,"Midair collision with a Soviet Air Force TU-16. The only surviving passenger, a 20 year old woman was found in a forest 3 days later. Poor communication between civilian and military ATCs.",1981
75,08/27/1981,"Mt. Elena, Colombia",Mt. Elena,50.0,50.0,Crashed in the jungle on a mountain peak. Flying VFR in meteorological conditions below minima.,1981
76,08/29/1981,"Zeya, Russia",Zeya,34.0,3.0,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground.",1981
77,09/02/1981,"Paipa, Colombia",Paipa,22.0,21.0,The aircraft was unable to gain altitude upon taking off. After turning left the plane struck a hill. Overloaded.,1981
78,09/18/1981,"Zeleznogorsk, Russian",Zeleznogorsk,40.0,40.0,Midair collision with a military Mi-8 helicopter (CCCP-22268). Thirty-three killed aboard the Yak-40.,1981
79,09/21/1981,"Nellis AFB, Nevada",Nellis AFB,70.0,7.0,Crashed short of the runway. The plane was carrying infantry troops.,1981
80,09/22/1981," Babaeski, Turkey", Babaeski,0.0,0.0,The fighter crashed into a village after the pilot ejected from the plane.,1981
81,09/29/1981,"Tehran, Iran",Tehran,80.0,60.0,Crashed into Tir Square while on approach to land. Killed were Iran's Defense Minister and other military officals.,1981
82,10/01/1981,"Casper, Wyoming",Casper,3.0,3.0,"A loss of control, possibly initiated by an unexpected encounter with moderate to severe clear air turbulence, which caused the aircraft to depart the narrow flight envelope boundaries in which it was operating and from which recovery was not effected.",1981
83,10/06/1981,"Moerdijk, Nerlands",Moerdijk,17.0,17.0,The aircraft entered an area of severe turbulence and a tornado which resulted in the separation of the right wing and in-flight break up.,1981
84,10/15/1981,"Kufstein, Austria",Kufstein,9.0,9.0,Crashed into a mountain.,1981
85,10/26/1981,"St. Thomas, U.S. Virgin Islands",St. Thomas,5.0,5.0,After executing a turn to avoid traffic the cargo plane struck the ocean. Pilot misjudged the altitude and clearance.,1981
86,10/31/1981,"Bafoussam, Cameroon",Bafoussam,24.0,1.0,"The aircraft took off, lost altitude, settled back on the runway and overshot the runway. The aircraft was overloaded. Other factors were the pilot misjudged the distance and speed during the takeoff and lack of proper pre-flight planning.",1981
87,11/08/1981,"Sierra de Guerro, Mexico",Sierra de Guerro,18.0,18.0,The flight struck a mountain during an emergency descent due to explosive decompression. Crew's failure to follow approved emergency procedures.,1981
88,11/16/1981,"Norilsk, Russia",Norilsk,167.0,99.0,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.,1981
89,11/19/1981,"Biratnagar, Nepal",Biratnagar,10.0,10.0,Crashed after takeoff.,1981
90,11/30/1981,"Castries, Saint Lucia Island",Castries,3.0,3.0,Engine failed during takeoff. The cargo plane crashed while returning to the field.,1981
91,12/01/1981,"Mt. San Pietro,  Ajaccio, Corsica, France",Mt. San Pietro,180.0,180.0,The aircraft crashed into a mountain during an approach to Camp dell Oro Airport in heavy fog. The crew was not properly prepared for the approach. The minimum altitude and maximum speed limits of the holding pattern were probably not retained. Imprecise language used by the crew and air traffic controller.,1981
92,12/05/1981,"Honolulu, Hawaii",Honolulu,12.0,11.0,"Crashed into the water. Improperly loaded aircraft, weight and center of gravity.",1981
93,12/16/1981,"Kuala Belait, Brunei",Kuala Belait,12.0,12.0,Crashed into the sea.,1981
94,12/18/1981," Covenas, Colombia", Covenas,13.0,13.0,Struck high ground.,1981
95,01/07/1982," Gelendzhik, USSR", Gelendzhik,18.0,18.0,The aircraft crashed into high ground 22 km from the airport. Continued VFR flight into IFR condtions.,1982
96,01/13/1982,"Washington, D.C.",Washington,79.0,74.0,"The aircraft crashed into the 14th St. bridge and the Potomac River and sank shortly after taking off from Washington National Airport. The aircraft reached a peak altitude of 300 ft. The flight crew's failure to use the engine anti-icing system during takeoff. Failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. Ice which accumulated on the engine pressure probes resulted in erroneously high Engine Pressure Ratio (EPR) readings. When the throttles were set to takeoff EPR, the engines were actually developing significantly less than takeoff thrust. The crew's inexperience in icing condtions was a contributing factor.",1982
97,01/14/1982," Addis Ababa, Ethiopia", Addis Ababa,73.0,73.0,Shot down by rebel forces.,1982
98,01/23/1982,"Logan Airport,  Boston, Massachusetts",Logan Airport,212.0,2.0,"While landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. The minimal braking effectiveness on the ice-covered runway. The crew landed without sufficient information as to runway conditions. Lack of FAA regulations. The pilot's decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident.",1982
99,01/25/1982,"Constanta, Romania",Constanta,7.0,7.0,A malfunction of the No. 1 engine feathering system caused the aircraft to lose control and crash.,1982
100,02/03/1982,"Djibouti, Djbouti",Djibouti,35.0,35.0,Crashed into a mountain before a planned paratroop drop.,1982
101,02/06/1982,"Island of Cheju, South Korea",Island of Cheju,53.0,53.0,Crashed into Mt. Halla while on approach to land in poor weather. Possible microburst windshear.,1982
102,02/07/1982," Srinagar, India", Srinagar,23.0,23.0,Crashed in dirzzle and snow while en route.,1982
103,02/09/1982,"Mt. Ipao, Philippines",Mt. Ipao,32.0,3.0,Struck Mt. Ipao on Panay Island.,1982
104,02/09/1982,"Tokyo, Japan",Tokyo,174.0,24.0,"The aircraft flew into shallow water, 100 yards meters short of the runway, after a struggle between a mentally ill captain and the co-pilot and flight engineer. The plane hit approach-light stanchions extending above the bay waters after which the nose broke off. During the approach, the captain, known to have mental problems, put the inboard engines into reverse in an attempt to destroy the aircraft while the co-pilot and flight engineer battled to restrain him.",1982
105,02/19/1982,"Cerro el Tablazo, Colombia",Cerro el Tablazo,4.0,4.0,The cargo plane crashed into high ground while on apporach to land.,1982
106,02/21/1982,"Providence, Rhode Island",Providence,12.0,1.0,The aircraft made an emergency landing near a reservoir after a fire erupted in the cockpit while the aircraft was en-route under IFR conditions. The fire spread to the cabin and destroyed the aircraft after impact.  The deficient design of the isopropyl alcohol windshield washer/deicer system and the inadequate maintenance of the system which resulted in an in-flight fire. The ignition source was not determined.,1982
107,03/11/1982,"Mehamn, Norway",Mehamn,15.0,15.0,"The aircraft crashed while on a flight from Berlevåg to Mehamn after the failure of the tail fin and rudder in moderate turbulence.  Overload due to a combination of clear air turbulence, mountain wave and the pilots spontaneous improper actions. There is some controversy surrounding this crash including the possiblity the aircraft was shot down by or collided with a British NATO Harrier jet fighter.",1982
108,03/19/1982," Woodstock, Illinois", Woodstock,27.0,27.0,"Crashed 40 miles northwest of Chicago O'Hare Airport where it was to have landed. Exploded and dove in an almost vertical attitude from a height of 13,700 ft. into a wooded area, exploded and burned. Most probably overpressurization under the cargo floor and ignition of fuel vapor.",1982
109,03/19/1982,"Leesburg, Florida",Leesburg,3.0,3.0,"Randy Rhoads, 25, lead guitarist for heavy metal star Ozzy Osbourne was killed when the plane in which he was a passenger crashed into a tour bus and a house. The pilot was attempting to buzz Osbourne's tour bus when after several attempts, the left wing struck the side of the bus puncturing it in two places approximately half way down the right side.  The plane was thrown over the bus, hit a pine tree, severing it approximately 10 feet up from the bottom, before it crashed into the garage of a  house. The plane was an estimated 10-11 feet off the ground traveling at approximately 120 - 150 knots during final impact. Several other members of the group were inside the bus but were not hurt. The pilot,  Andrew Aycock's medical certificate (3rd class) had expired, making his pilots license invalid. All three aboard, Rhoads, Rachel Youngblood, the groups hairdresser and the pilot were killed. Poor judgement by the pilot in buzzing the bus and misjudging clearance of obstacles.",1982
110,03/20/1982,"Branti Airport, Indonesia",Branti Airport,27.0,27.0,"The plane overran the runway in heavy rain, crashed into a field and burned while attemping to land.",1982
111,03/26/1982,"Queate, Colombia",Queate,21.0,21.0,Crashed into a mountain during poor weather conditions.,1982
112,04/11/1982," Tanana, Alaska", Tanana,3.0,3.0,The helicopter crashed on a snow covered mountain slope in a steep left bank in overcast and snow showers. Continued VFR flight into IFR conditons.,1982
113,04/13/1982," Erzurum, Turkey", Erzurum,27.0,27.0,Failure of the No.4 engine followed by separation of the engine and propeller of the No.3 engine.  Overpressurization of the right wing resulting in an explosion and in-flight fire. A Mayday was received from the aircraft before it fell and crashed into mountainous terrain and burst into flames. Attachment bolts to support the No. 4 engine had not been installed.,1982
114,04/26/1982," Yangshuo, Guangxi, China", Yangshuo,112.0,112.0,The aircraft struck a mountain in heavy rain during a landing attempt.,1982
115,04/30/1982,Gulf of Thailand,Gulf of Thailand,13.0,13.0,The helicopter crashed under unknown circumstances.,1982
116,05/09/1982," Aden, Yemen", Aden,49.0,47.0,Crashed into the ocean during an approach 2 km short of the runway.,1982
117,05/12/1982,"Judsonia, Arkansas",Judsonia,7.0,7.0,Lost a wing and crashed.,1982
118,05/19/1982,South Atlantic Ocean,South Atlantic Ocean,30.0,21.0,"The helicopter, carrying troops from one ship to another during the Falkland Islands war, crashed into the Atlantic Ocean. Possible bird strike or component failure.",1982
119,05/25/1982,"Brazilia, Brazil",Brazilia,118.0,2.0,The aircraft broke in two after a hard landing. The pilot's misuse of rain repellant caused an optical illusion.,1982
120,05/28/1982," Natuma Island, Indonesia", Natuma Island,10.0,10.0,The helicopter crashed into the sea.,1982
121,06/01/1982," Songnam-si, South Korea", Songnam-si,53.0,53.0,Crashed in poor weather conditions after taking off with paratroopers.,1982
122,06/08/1982," Pacatuba, Brazil", Pacatuba,137.0,137.0,"The aircraft crashed into a 2,500 ft. mountain (Serra da Aratanha) during an approach in heavy rain and fog. Despite two altitude alert system warnings and the co-pilot's warning of the mountains ahead, the captain continued to descend below the minimum descend altitude. Non-observance of air traffic and carrier's procedures.",1982
123,06/12/1982,"Tabatinga, Brazil",Tabatinga,44.0,44.0,The plane crashed into the tower during an approach in adverse weather conditions.,1982
124,06/22/1982,"Bombay, India",Bombay,111.0,17.0,"The crew initiated a go-around after a heavy landing and a subsequently bounced lifted off the runway but descended back onto the ground and broke up. Deliberate reduction of engine power by the pilot 12 seconds prior to first impact due to altitude unawareness resulting in a high rate of descent and very hard landing. The aircraft was named ""Gaurishankar.""",1982
125,06/24/1982,"Mount Galunggung, Indonesia",Mount Galunggung,257.0,0.0,"The aircraft flew into a plume from a volcanic eruption at 37,000 feet during the night. All engines failed and the windshield lost transparency because of pitting. The first engine was restarted at 12,000 feet, followed by the other three and the plane landed safely at Jakarta. The aircraft was named ""City of Edinburgh.""",1982
126,06/28/1982,"Sourn Belarus, USSR",Sourn Belarus,132.0,132.0,"From an altitude of 30,000 ft., a malfunction occurred causing the aircraft to crash 125 miles from its destination. In-flight failure and jamming of stabilizer screw-jack mechanism due to wear.",1982
127,07/03/1982,"Oganda, Gabon",Oganda,12.0,12.0,,1982
128,07/06/1982," Moscow, Russia", Moscow,90.0,90.0,The aircraft crashed and burned in field shortly after takeoff. Failure of the aircraft's power plant fire warning system due to design deficiencies which resulted in false fire indications in both engines.,1982
129,07/09/1982,"Kenner, Louisiana",Kenner,145.0,145.0,"The aircraft crashed during a thunderstorm, 29 seconds after taking off from New Orleans International Airport. The plane reached an altitude of 95 to 150 feet and then began to descend and crashed into trees and houses bursting into flames. Microbust induced windshear. Limited capability of current ground-based low-level windshear detection technology. The aircraft was named ""Clipper Defiance.""",1982
130,07/11/1982,"Jolo, Philippines",Jolo,30.0,4.0,Takeoff was aborted at V1 when the crew heard unusual sounds from the No.1 engine. The aircraft overran the runway and came to rest against a wall and some vehicles. Misjudged speed and distance and delayed action in aborting the takeoff.,1982
131,07/23/1982,"Castaic, California",Castaic,1.0,0.0,"During the filming of ""Twilight Zone, The Movie"", a helicopter crashed, killing actor Vic Morrow, 53, and two child actors. The helicopter was hovering low over a make believe Vietnamese village when an explosive charge from the special effects hit the tail rotor of the helicopter sending it crashing to the ground. One child, Rene Chen, 6, was crushed to death with the right skid. Vic Morrow and the other child, Myca Dinh Le, 7, were decapitated. Criminal charges against the production company were eventually dismissed in a much publicized trial. The civil trial ended in awards of 2 million dollars to the families of each of the children and $700,000  to the estate of Vic Morrow.",1982
132,08/11/1982,Pacific Ocean,Pacific Ocean,285.0,1.0,"A sixteen-year-old boy was killed when a bomb detonated under a seat cushion. The explosion caused minor damage and the plane landed safely at Honolulu. The bomb was placed onboard by Mohammed Rashed, a Jordanian terrorist with the May 15 Organization.",1982
133,08/12/1982,"Mindat, Myanmar",Mindat,8.0,8.0,Hit high ground in poor weather.,1982
134,08/14/1982," Managua, Nicaragua", Managua,20.0,20.0,Rolled to the right and crashed from an altitude of 500 ft. shortly after becoming airborne.,1982
135,08/14/1982,"Sukhumi, Georgia, USSR",Sukhumi,11.0,11.0,Ground collision. Eleven killed on the LET and none on the Tupolev.,1982
136,09/01/1982," Valladolid, Ecuador", Valladolid,44.0,44.0,Flew into a mountain in the Andes after the pilot became disoriented in a low ceiling.,1982
137,09/04/1982,"Rio Branco, Brazil",Rio Branco,10.0,10.0,The plane ran out of fuel on the third approach in poor weather.,1982
138,09/11/1982," Mannheim, West Germany", Mannheim,46.0,46.0,Crashed helicopter experiencing catastrophic mechanical failure and separation of one of the rotors. The aircraft was carrying French and German sky divers as part of Mannheim's 375 birthday celebration. Bearing failure in the forward transmission pack.,1982
139,09/13/1982," Malaga, Spain", Malaga,394.0,50.0,The aircraft crashed during takeoff after intense vibration caused by a blown retreaded tire. The crew aborted the takeoff above VR and overran the runway. They also  failed to apply reverse thrust symmetrically.,1982
